,data,codigo,defluencia
4864,2004-05-18,19067,190.88
4865,2004-05-19,19067,167.62
4866,2004-05-20,19067,150.42
4867,2004-05-21,19067,134.55
4868,2004-05-22,19067,124.57
4869,2004-05-25,19067,155.3
4870,2004-05-31,19067,133.08
4871,2004-06-01,19067,123.1
4872,2004-06-02,19067,119.85
4873,2004-06-04,19067,110.82
4874,2004-06-07,19067,121.83
4875,2004-06-08,19067,107.84
4876,2004-06-10,19067,120.59
4877,2004-06-13,19067,250.58
4878,2004-06-16,19067,136.7
4879,2004-06-18,19067,114.31
4880,2004-06-22,19067,95.16
4881,2004-06-24,19067,86.66
4882,2004-06-26,19067,82.59
4883,2004-06-27,19067,91.96
4884,2004-06-29,19067,91.23
4885,2004-06-30,19067,87.21
4886,2004-07-03,19067,297.79
4887,2004-07-06,19067,362.73
4888,2004-07-07,19067,375.4
4889,2004-07-09,19067,616.99
4890,2004-07-14,19067,400.39
4891,2004-07-15,19067,1326.41
4892,2004-07-16,19067,1876.14
4893,2004-07-21,19067,316.53
4894,2004-07-22,19067,283.35
4895,2004-07-23,19067,248.86
4896,2004-07-26,19067,180.64
4897,2004-07-29,19067,147.91
4898,2004-08-02,19067,193.08
4899,2004-08-03,19067,158.19
4900,2004-08-06,19067,117.34
4901,2004-08-07,19067,113.08
4902,2004-08-08,19067,116.84
4903,2004-08-10,19067,132.16
4904,2004-08-11,19067,116.79
4905,2004-08-13,19067,98.77
4906,2004-08-14,19067,89.99
4907,2004-08-15,19067,82.96
4908,2004-08-17,19067,76.73
4909,2004-08-19,19067,70.57
4910,2004-08-23,19067,87.1
4911,2004-08-24,19067,101.47
4912,2004-08-29,19067,109.38
4913,2004-08-30,19067,118.26
4914,2004-09-03,19067,69.67
4915,2004-09-04,19067,64.24
4916,2004-09-06,19067,56.15
4917,2004-09-08,19067,51.73
4918,2004-09-09,19067,53.77
4919,2004-09-12,19067,101.15
4920,2004-09-18,19067,336.74
4921,2004-09-19,19067,248.61
4922,2004-09-20,19067,206.16
4923,2004-09-22,19067,223.27
4924,2004-09-23,19067,552.31
4925,2004-09-25,19067,1600.88
4926,2004-09-26,19067,878.32
4927,2004-10-02,19067,531.69
4928,2004-10-03,19067,402.82
4929,2004-10-04,19067,334.0
4930,2004-10-05,19067,279.47
4931,2004-10-06,19067,240.14
4932,2004-10-07,19067,216.47
4933,2004-10-10,19067,232.72
4934,2004-10-12,19067,266.64
4935,2004-10-16,19067,297.14
4936,2004-10-17,19067,496.88
4937,2004-10-19,19067,643.49
4938,2004-10-21,19067,318.27
4939,2004-10-22,19067,259.92
4940,2004-10-23,19067,276.14
4941,2004-10-27,19067,251.76
4942,2004-10-28,19067,226.33
4943,2004-10-29,19067,196.87
4944,2004-11-01,19067,167.17
4945,2004-11-03,19067,152.23
4946,2004-11-06,19067,156.65
4947,2004-11-08,19067,127.33
4948,2004-11-09,19067,133.91
4949,2004-11-10,19067,179.29
4950,2004-11-12,19067,393.42
4951,2004-11-13,19067,428.13
4952,2004-11-19,19067,325.56
4953,2004-11-21,19067,171.29
4954,2004-11-22,19067,147.83
4955,2004-11-23,19067,134.74
4956,2004-11-24,19067,123.62
4957,2004-11-26,19067,111.92
4958,2004-11-28,19067,112.83
4959,2004-11-29,19067,110.64
4960,2004-11-30,19067,103.11
4961,2004-12-01,19067,97.82
4962,2004-12-04,19067,76.35
4963,2004-12-05,19067,72.75
4964,2004-12-06,19067,92.08
4965,2004-12-07,19067,116.49
4966,2004-12-08,19067,161.89
4967,2004-12-09,19067,171.38
4968,2004-12-10,19067,119.27
4969,2004-12-13,19067,175.09
4970,2004-12-14,19067,127.35
4971,2004-12-17,19067,97.15
4972,2004-12-18,19067,104.5
4973,2004-12-19,19067,101.46
4974,2004-12-21,19067,84.13
4975,2004-12-22,19067,72.0
4976,2004-12-23,19067,81.58
4977,2004-12-24,19067,83.23
4978,2004-12-28,19067,0.0
4979,2004-12-29,19067,0.0
4980,2004-12-30,19067,0.0
4981,2005-01-01,19067,56.55
4982,2005-01-02,19067,66.7
4983,2005-01-03,19067,52.2
4984,2005-01-05,19067,47.85
4985,2005-01-08,19067,72.5
4986,2005-01-10,19067,105.85
4987,2005-01-12,19067,243.6
4988,2005-01-13,19067,145.0
4989,2005-01-14,19067,101.5
4990,2005-01-15,19067,72.5
4991,2005-01-16,19067,65.25
4992,2005-01-17,19067,63.8
4993,2005-01-18,19067,58.0
4994,2005-01-19,19067,62.35
4995,2005-01-23,19067,36.25
4996,2005-01-24,19067,43.5
4997,2005-01-25,19067,116.0
4998,2005-01-27,19067,189.95
4999,2005-01-28,19067,107.3
5000,2005-01-30,19067,56.55
5001,2005-02-01,19067,44.95
5002,2005-02-03,19067,42.05
5003,2005-02-04,19067,37.7
5004,2005-02-07,19067,52.2
5005,2005-02-10,19067,36.25
5006,2005-02-12,19067,31.9
5007,2005-02-14,19067,30.45
5008,2005-02-16,19067,95.26
5009,2005-02-19,19067,56.12
5010,2005-02-21,19067,165.74
5011,2005-02-25,19067,48.28
5012,2005-02-26,19067,95.26
5013,2005-02-27,19067,143.55
5014,2005-03-02,19067,56.12
5015,2005-03-04,19067,44.37
5016,2005-03-05,19067,37.84
5017,2005-03-07,19067,34.8
5018,2005-03-09,19067,30.45
5019,2005-03-10,19067,27.55
5020,2005-03-11,19067,26.1
5021,2005-03-12,19067,26.1
5022,2005-03-13,19067,37.7
5023,2005-03-15,19067,380.58
5024,2005-03-16,19067,256.02
5025,2005-03-18,19067,82.22
5026,2005-03-20,19067,53.5
5027,2005-03-21,19067,49.59
5028,2005-03-22,19067,91.35
5029,2005-03-23,19067,199.66
5030,2005-03-24,19067,609.0
5031,2005-03-26,19067,232.29
5032,2005-03-27,19067,170.96
5033,2005-03-28,19067,123.98
5034,2005-03-29,19067,100.48
5035,2005-03-31,19067,77.0
5036,2005-04-03,19067,1483.35
5037,2005-04-05,19067,510.4
5038,2005-04-06,19067,350.9
5039,2005-04-07,19067,274.05
5040,2005-04-14,19067,162.4
5041,2005-04-15,19067,253.75
5042,2005-04-16,19067,179.8
5043,2005-04-17,19067,158.05
5044,2005-04-21,19067,105.85
5045,2005-04-26,19067,158.05
5046,2005-04-28,19067,127.6
5047,2005-04-30,19067,118.9
5048,2005-05-01,19067,114.55
5049,2005-05-02,19067,111.65
5050,2005-05-04,19067,81.2
5051,2005-05-05,19067,73.95
